player,team,april_ab,april_h,career_ab,career_h
Corey Seager,Texas Rangers,77,22,3964,1151
Danny Jansen,Tampa Bay Rays,63,10,1493,329
Dansby Swanson,Chicago Cubs,123,25,4142,1042
Dylan Moore,Seattle Mariners,70,20,1434,296
Elias Díaz,San Diego Padres,56,12,2317,582
Elly De La Cruz,Cincinnati Reds,121,34,1006,251
Enrique Hernández,Los Angeles Dodgers,64,12,3487,830
Eugenio Suárez,Arizona Diamondbacks,105,21,5232,1300
Ezequiel Tovar,Colorado Rockies,66,14,1269,330
Fernando Tatis Jr.,San Diego Padres,113,39,2009,561
