season,week,game_id,team,opponent,is_home,plays,rush_att,pass_plays,run_share,points_for,points_against,margin,mean_score_diff
2024,10,2024_10_CIN_BAL,CIN,BAL,0,76,16,60,0.2105,34,35,-1,1.934
2024,10,2024_10_DEN_KC,DEN,KC,0,55,23,32,0.4182,14,16,-2,0.855
2024,10,2024_10_DEN_KC,KC,DEN,1,65,19,46,0.2923,16,14,2,-4.169
2024,10,2024_10_DET_HOU,DET,HOU,0,63,33,30,0.5238,26,23,3,-8.238
2024,10,2024_10_DET_HOU,HOU,DET,1,65,28,37,0.4308,23,26,-3,6.154
2024,10,2024_10_MIA_LA,LA,MIA,1,67,18,49,0.2687,15,23,-8,-8.806
2024,10,2024_10_MIA_LA,MIA,LA,0,52,21,31,0.4038,23,15,8,6.654
2024,10,2024_10_MIN_JAX,JAX,MIN,1,43,18,25,0.4186,7,12,-5,0.302
2024,10,2024_10_MIN_JAX,MIN,JAX,0,80,41,39,0.5125,12,7,5,-1.912
2024,10,2024_10_NE_CHI,CHI,NE,1,59,20,39,0.339,3,19,-16,-7.763
2024,10,2024_10_NE_CHI,NE,CHI,0,60,34,26,0.5667,19,3,16,5.567
2024,10,2024_10_NYG_CAR,CAR,NYG,1,58,32,26,0.5517,20,17,3,4.707
2024,10,2024_10_NYG_CAR,NYG,CAR,0,71,33,38,0.4648,17,20,-3,-7.549
2024,10,2024_10_NYJ_ARI,ARI,NYJ,1,56,31,25,0.5536,31,6,25,13.054
2024,10,2024_10_NYJ_ARI,NYJ,ARI,0,55,17,38,0.3091,6,31,-25,-17.109
2024,10,2024_10_PHI_DAL,DAL,PHI,1,56,24,32,0.4286,6,34,-28,-11.429
2024,10,2024_10_PHI_DAL,PHI,DAL,0,64,37,27,0.5781,34,6,28,10.828
2024,10,2024_10_PIT_WAS,PIT,WAS,0,72,40,32,0.5556,28,27,1,-2.569
2024,10,2024_10_PIT_WAS,WAS,PIT,1,59,22,37,0.3729,27,28,-1,-1.0
2024,10,2024_10_SF_TB,SF,TB,0,59,21,38,0.3559,23,20,3,1.542
2024,10,2024_10_SF_TB,TB,SF,1,58,27,31,0.4655,20,23,-3,-4.741
2024,10,2024_10_TEN_LAC,LAC,TEN,1,55,37,18,0.6727,27,17,10,2.8
2024,10,2024_10_TEN_LAC,TEN,LAC,0,51,21,30,0.4118,17,27,-10,-7.314
2024,11,2024_11_ATL_DEN,ATL,DEN,0,55,21,34,0.3818,6,38,-32,-17.255
2024,11,2024_11_ATL_DEN,DEN,ATL,1,60,26,34,0.4333,38,6,32,12.3
2024,11,2024_11_BAL_PIT,BAL,PIT,0,54,18,36,0.3333,16,18,-2,-4.685
2024,11,2024_11_BAL_PIT,PIT,BAL,1,72,32,40,0.4444,18,16,2,2.736
2024,11,2024_11_CIN_LAC,CIN,LAC,0,78,25,53,0.3205,27,34,-7,-6.667
2024,11,2024_11_CIN_LAC,LAC,CIN,1,62,25,37,0.4032,34,27,7,7.129
2024,11,2024_11_CLE_NO,CLE,NO,0,71,20,51,0.2817,14,35,-21,-7.423
2024,11,2024_11_CLE_NO,NO,CLE,1,56,26,30,0.4643,35,14,21,4.571
2024,11,2024_11_GB_CHI,CHI,GB,1,69,34,35,0.4928,19,20,-1,-0.957
2024,11,2024_11_GB_CHI,GB,CHI,0,43,25,18,0.5814,20,19,1,-0.512
2024,11,2024_11_HOU_DAL,DAL,HOU,1,79,18,61,0.2278,10,34,-24,-11.722
2024,11,2024_11_HOU_DAL,HOU,DAL,0,60,25,35,0.4167,34,10,24,8.267
2024,11,2024_11_IND_NYJ,IND,NYJ,0,69,36,33,0.5217,28,27,1,1.391
2024,11,2024_11_IND_NYJ,NYJ,IND,1,52,20,32,0.3846,27,28,-1,-3.558
2024,11,2024_11_JAX_DET,DET,JAX,1,74,41,33,0.5541,52,6,46,21.473
2024,11,2024_11_JAX_DET,JAX,DET,0,47,17,30,0.3617,6,52,-46,-23.362
2024,11,2024_11_KC_BUF,BUF,KC,1,69,29,40,0.4203,30,21,9,1.478
2024,11,2024_11_KC_BUF,KC,BUF,0,52,17,35,0.3269,21,30,-9,-5.942
2024,11,2024_11_LA_NE,LA,NE,0,48,21,27,0.4375,28,22,6,1.708
2024,11,2024_11_LA_NE,NE,LA,1,72,30,42,0.4167,22,28,-6,-5.431
2024,11,2024_11_LV_MIA,LV,MIA,0,63,17,46,0.2698,19,34,-15,-9.444
2024,11,2024_11_LV_MIA,MIA,LV,1,63,26,37,0.4127,34,19,15,3.714
2024,11,2024_11_MIN_TEN,MIN,TEN,0,66,32,34,0.4848,23,13,10,7.439
2024,11,2024_11_MIN_TEN,TEN,MIN,1,55,19,36,0.3455,13,23,-10,-7.582
2024,11,2024_11_SEA_SF,SEA,SF,0,59,23,36,0.3898,20,17,3,-3.0
2024,11,2024_11_SEA_SF,SF,SEA,1,57,27,30,0.4737,17,20,-3,-0.579
2024,11,2024_11_WAS_PHI,PHI,WAS,1,69,39,30,0.5652,26,18,8,-3.783
2024,11,2024_11_WAS_PHI,WAS,PHI,0,64,28,36,0.4375,18,26,-8,-1.688
2024,12,2024_12_ARI_SEA,ARI,SEA,0,56,14,42,0.25,6,16,-10,-4.375
2024,12,2024_12_ARI_SEA,SEA,ARI,1,59,23,36,0.3898,16,6,10,3.186
2024,12,2024_12_BAL_LAC,BAL,LAC,0,59,35,24,0.5932,30,23,7,0.102
2024,12,2024_12_BAL_LAC,LAC,BAL,1,60,20,40,0.3333,23,30,-7,-2.367
2024,12,2024_12_DAL_WAS,DAL,WAS,0,61,28,33,0.459,34,26,8,-1.115
2024,12,2024_12_DAL_WAS,WAS,DAL,1,67,26,41,0.3881,26,34,-8,-1.612
2024,12,2024_12_DEN_LV,DEN,LV,0,65,22,43,0.3385,29,19,10,0.631
2024,12,2024_12_DEN_LV,LV,DEN,1,73,16,57,0.2192,19,29,-10,-3.849
2024,12,2024_12_DET_IND,DET,IND,0,71,32,39,0.4507,24,6,18,6.859
2024,12,2024_12_DET_IND,IND,DET,1,48,20,28,0.4167,6,24,-18,-7.0
2024,12,2024_12_KC_CAR,CAR,KC,1,59,22,37,0.3729,27,30,-3,-9.593
2024,12,2024_12_KC_CAR,KC,CAR,0,68,26,42,0.3824,30,27,3,4.794
2024,12,2024_12_MIN_CHI,CHI,MIN,1,74,22,52,0.2973,27,30,-3,-5.757
2024,12,2024_12_MIN_CHI,MIN,CHI,0,65,27,38,0.4154,30,27,3,4.169
2024,12,2024_12_NE_MIA,MIA,NE,1,63,21,42,0.3333,34,15,19,13.857
2024,12,2024_12_NE_MIA,NE,MIA,0,63,20,43,0.3175,15,34,-19,-17.048
2024,12,2024_12_PHI_LA,LA,PHI,1,60,18,42,0.3,20,37,-17,-10.3
2024,12,2024_12_PHI_LA,PHI,LA,0,66,43,23,0.6515,37,20,17,3.742
2024,12,2024_12_PIT_CLE,CLE,PIT,1,57,27,30,0.4737,24,19,5,1.351
2024,12,2024_12_PIT_CLE,PIT,CLE,0,68,34,34,0.5,19,24,-5,-4.221
2024,12,2024_12_SF_GB,GB,SF,1,67,42,25,0.6269,38,10,28,11.06
2024,12,2024_12_SF_GB,SF,GB,0,46,15,31,0.3261,10,38,-28,-15.174
2024,12,2024_12_TB_NYG,NYG,TB,1,55,19,36,0.3455,7,30,-23,-20.964
2024,12,2024_12_TB_NYG,TB,NYG,0,62,32,30,0.5161,30,7,23,13.145
2024,12,2024_12_TEN_HOU,HOU,TEN,1,54,17,37,0.3148,27,32,-5,-3.185
2024,12,2024_12_TEN_HOU,TEN,HOU,0,64,31,33,0.4844,32,27,5,0.859
2024,13,2024_13_ARI_MIN,ARI,MIN,0,76,31,45,0.4079,22,23,-1,1.605
2024,13,2024_13_ARI_MIN,MIN,ARI,1,50,14,36,0.28,23,22,1,-5.1
2024,13,2024_13_CHI_DET,CHI,DET,0,59,15,44,0.2542,20,23,-3,-11.017
2024,13,2024_13_CHI_DET,DET,CHI,1,69,33,36,0.4783,23,20,3,7.275
2024,13,2024_13_CLE_DEN,CLE,DEN,0,85,23,62,0.2706,32,41,-9,-4.682
2024,13,2024_13_CLE_DEN,DEN,CLE,1,59,24,35,0.4068,41,32,9,0.492
2024,13,2024_13_HOU_JAX,HOU,JAX,0,58,22,36,0.3793,23,20,3,3.448
2024,13,2024_13_HOU_JAX,JAX,HOU,1,69,25,44,0.3623,20,23,-3,-7.565
2024,13,2024_13_IND_NE,IND,NE,0,58,34,24,0.5862,25,24,1,-3.672
2024,13,2024_13_IND_NE,NE,IND,1,66,31,35,0.4697,24,25,-1,-0.788
2024,13,2024_13_LAC_ATL,ATL,LAC,1,77,37,40,0.4805,13,17,-4,-1.727
2024,13,2024_13_LAC_ATL,LAC,ATL,0,44,14,30,0.3182,17,13,4,-0.568
2024,13,2024_13_LA_NO,LA,NO,0,53,27,26,0.5094,21,14,7,-2.226
2024,13,2024_13_LA_NO,NO,LA,1,69,31,38,0.4493,14,21,-7,-1.0
2024,13,2024_13_LV_KC,KC,LV,1,65,15,50,0.2308,19,17,2,2.615
2024,13,2024_13_LV_KC,LV,KC,0,62,25,37,0.4032,17,19,-2,-4.468
2024,13,2024_13_MIA_GB,GB,MIA,1,53,25,28,0.4717,30,17,13,11.811
2024,13,2024_13_MIA_GB,MIA,GB,0,67,14,53,0.209,17,30,-13,-16.104
2024,13,2024_13_NYG_DAL,DAL,NYG,1,66,30,36,0.4545,27,20,7,4.606
2024,13,2024_13_NYG_DAL,NYG,DAL,0,59,21,38,0.3559,20,27,-7,-7.983
2024,13,2024_13_PHI_BAL,BAL,PHI,1,71,32,39,0.4507,19,24,-5,-1.944
2024,13,2024_13_PHI_BAL,PHI,BAL,0,52,31,21,0.5962,24,19,5,-0.538
2024,13,2024_13_PIT_CIN,CIN,PIT,1,57,15,42,0.2632,38,44,-6,-5.947
2024,13,2024_13_PIT_CIN,PIT,CIN,0,64,24,40,0.375,44,38,6,1.078
2024,13,2024_13_SEA_NYJ,NYJ,SEA,1,62,21,41,0.3387,21,26,-5,2.871
2024,13,2024_13_SEA_NYJ,SEA,NYJ,0,56,22,34,0.3929,26,21,5,-5.536
2024,13,2024_13_SF_BUF,BUF,SF,1,53,35,18,0.6604,35,10,25,11.83
2024,13,2024_13_SF_BUF,SF,BUF,0,46,27,19,0.587,10,35,-25,-12.739
2024,13,2024_13_TB_CAR,CAR,TB,1,68,21,47,0.3088,23,26,-3,-1.235
2024,13,2024_13_TB_CAR,TB,CAR,0,76,38,38,0.5,26,23,3,-1.434
2024,13,2024_13_TEN_WAS,TEN,WAS,0,51,11,40,0.2157,19,42,-23,-19.667
2024,13,2024_13_TEN_WAS,WAS,TEN,1,76,44,32,0.5789,42,19,23,17.566
2024,14,2024_14_ATL_MIN,ATL,MIN,0,71,33,38,0.4648,21,42,-21,-5.296
2024,14,2024_14_ATL_MIN,MIN,ATL,1,53,21,32,0.3962,42,21,21,2.264
2024,14,2024_14_BUF_LA,BUF,LA,0,54,17,37,0.3148,42,44,-2,-10.259
2024,14,2024_14_BUF_LA,LA,BUF,1,72,42,30,0.5833,44,42,2,4.514
2024,14,2024_14_CAR_PHI,CAR,PHI,0,68,33,35,0.4853,16,22,-6,-3.426
2024,14,2024_14_CAR_PHI,PHI,CAR,1,56,31,25,0.5536,22,16,6,0.357
2024,14,2024_14_CHI_SF,CHI,SF,0,53,21,32,0.3962,13,38,-25,-20.151
2024,14,2024_14_CHI_SF,SF,CHI,1,60,33,27,0.55,38,13,25,14.433
2024,14,2024_14_CIN_DAL,CIN,DAL,0,63,17,46,0.2698,27,20,7,-1.508
2024,14,2024_14_CIN_DAL,DAL,CIN,1,59,25,34,0.4237,20,27,-7,-2.102
2024,14,2024_14_CLE_PIT,CLE,PIT,0,69,25,44,0.3623,14,27,-13,-9.681
2024,14,2024_14_CLE_PIT,PIT,CLE,1,60,33,27,0.55,27,14,13,5.033
2024,14,2024_14_GB_DET,DET,GB,1,76,34,42,0.4474,34,31,3,0.789
2024,14,2024_14_GB_DET,GB,DET,0,44,23,21,0.5227,31,34,-3,-6.455
2024,14,2024_14_JAX_TEN,JAX,TEN,0,57,25,32,0.4386,10,6,4,-3.316
2024,14,2024_14_JAX_TEN,TEN,JAX,1,62,28,34,0.4516,6,10,-4,0.823
2024,14,2024_14_LAC_KC,KC,LAC,1,63,23,40,0.3651,19,17,2,1.841
2024,14,2024_14_LAC_KC,LAC,KC,0,57,24,33,0.4211,17,19,-2,-6.456
2024,14,2024_14_LV_TB,LV,TB,0,63,24,39,0.381,13,28,-15,-9.19
2024,14,2024_14_LV_TB,TB,LV,1,59,26,33,0.4407,28,13,15,5.627
2024,14,2024_14_NO_NYG,NO,NYG,0,65,32,33,0.4923,14,11,3,3.585
2024,14,2024_14_NO_NYG,NYG,NO,1,74,23,51,0.3108,11,14,-3,-5.716
