play_id,qtr,time,posteam,defteam,down,ydstogo,yardline_100,score_differential,play_type,desc,epa,wpa,wp
2450,3,09:17,SEA,NE,4,9,22,9,field_goal,"(9:17) 5-J.Myers 41 yard field goal is GOOD, Center-41-C.Stoll, Holder-4-M.Dickson.",0.5621,-0.03519,0.8678
2470,3,09:12,NE,SEA,,0,35,-12,kickoff,5-J.Myers kicks 61 yards from SEA 35 to NE 4. 34-D.Johnson to NE 32 for 28 yards (48-T.Knight).,0.5107,0.00458,0.1674
2500,3,09:07,NE,SEA,1,10,68,-12,run,(9:07) 32-T.Henderson left end to NE 41 for 9 yards (8-C.Bryant; 20-J.Love).,0.7037,0.02039,0.172
2522,3,08:30,NE,SEA,2,1,59,-12,run,(8:30) 32-T.Henderson up the middle to NE 41 for no gain (42-D.Thomas; 0-D.Lawrence).,-0.5662,-0.01604,0.1924
2544,3,07:46,NE,SEA,3,1,59,-12,pass,(7:46) (Shotgun) 10-D.Maye pass incomplete deep left to 3-D.Douglas.,-1.6506,-0.03783,0.1763
2567,3,07:41,NE,SEA,4,1,59,-12,punt,"(7:41) 17-B.Baringer punts 41 yards to SEA 18, Center-47-J.Ashby, fair catch by 22-R.Shaheed.",-0.1715,0.00099,0.1385
2587,3,07:34,SEA,NE,1,10,82,12,pass,(7:34) 14-S.Darnold sacked at SEA 10 for -8 yards (97-M.Williams).,-1.4338,-0.01494,0.8605
2619,3,06:50,SEA,NE,2,18,90,12,pass,(6:50) (Shotgun) 14-S.Darnold pass short left to 11-J.Smith-Njigba to SEA 14 for 4 yards (25-M.Jones).,-0.4959,-0.00787,0.8456
2644,3,06:06,SEA,NE,3,14,86,12,run,(6:06) (Shotgun) 9-K.Walker right guard to SEA 20 for 6 yards (48-J.Tavai; 53-C.Elliss).,-0.3988,-0.00257,0.8377
2666,3,05:24,SEA,NE,4,8,80,12,punt,"(5:24) 4-M.Dickson punts 47 yards to NE 33, Center-41-C.Stoll. 25-M.Jones pushed ob at SEA 48 for 19 yards (4-M.Dickson). ** Injury Update: SEA-48-T.Knight has returned to the game. PENALTY on NE-24-D.Pettus, Illegal Block Above the Waist, 10 yards, enforced at NE 37.",1.0874,0.03533,0.8351
2708,3,05:10,NE,SEA,1,10,73,-12,pass,(5:10) (Shotgun) 10-D.Maye sacked at NE 25 for -2 yards (91-B.Murphy).,-0.9844,-0.01084,0.1295
2738,3,04:30,NE,SEA,2,12,75,-12,pass,(4:30) (Shotgun) 10-D.Maye pass short right to 13-M.Hollins to NE 33 for 8 yards (13-E.Jones).,0.4303,0.01259,0.1187
2763,3,03:49,NE,SEA,3,4,67,-12,pass,(3:49) (Shotgun) 10-D.Maye pass incomplete short middle to 9-K.Boutte.,-1.5535,-0.03263,0.1313
2786,3,03:45,NE,SEA,4,4,67,-12,punt,"(3:45) 17-B.Baringer punts 46 yards to SEA 21, Center-47-J.Ashby, fair catch by 22-R.Shaheed.",0.6684,0.01273,0.0987
